Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
2024-02-08,169.83999633789062,315.7023010253906,378.781494140625,31.816736221313477,145.21572875976562,150.3966064453125,169.84719848632812,467.7952575683594,25.458206176757812,153.8609619140625
2024-02-09,174.4499969482422,310.9569396972656,374.324462890625,31.901575088500977,148.29103088378906,150.74276733398438,170.05123901367188,465.91412353515625,25.448970794677734,152.67771911621094
2024-02-12,172.33999633789062,315.3395080566406,382.2765197753906,32.41064453125,146.82803344726562,151.7909698486328,170.80914306640625,466.700439453125,25.54131317138672,152.37704467773438
2024-02-13,168.63999938964844,306.7214050292969,372.3413391113281,32.23153305053711,144.4493865966797,150.4639129638672,169.32249450683594,457.96160888671875,24.904165267944336,151.56236267089844
2024-02-14,170.97999572753906,310.51568603515625,377.750732421875,32.16554260253906,145.24559020996094,149.76193237304688,171.04232788085938,471.0599060058594,25.0334415435791,150.94163513183594
2024-02-15,169.8000030517578,316.7513427734375,357.99822998046875,32.86315155029297,142.09066772460938,151.85826110839844,174.77354431152344,481.75946044921875,25.402803421020508,152.28005981445312
2024-02-16,169.50999450683594,315.614013671875,354.0909729003906,32.91028594970703,139.85137939453125,151.68385314941406,173.95733642578125,471.0997009277344,25.504375457763672,152.76498413085938
2024-02-20,167.0800018310547,307.6038513183594,350.85125732421875,32.740596771240234,140.44851684570312,152.95314025878906,174.6374969482422,469.5370788574219,25.476675033569336,153.73486328125
2024-02-21,168.58999633789062,310.93731689453125,350.76287841796875,34.13581848144531,141.87171936035156,153.7476348876953,175.77435302734375,466.3287658691406,25.550548553466797,155.5679168701172
2024-02-22,174.5800018310547,315.7904968261719,350.2621765136719,33.966129302978516,143.4043731689453,155.46261596679688,177.88287353515625,484.3630065917969,25.439739227294922,155.72311401367188
2024-02-23,174.99000549316406,317.54547119140625,357.99822998046875,34.060401916503906,143.2750244140625,156.80943298339844,178.7768096923828,482.2706298828125,25.63365364074707,156.17893981933594
2024-02-26,174.72999572753906,319.0161437988281,356.57476806640625,33.58904266357422,136.91542053222656,155.7920684814453,178.16464233398438,479.9889221191406,25.098079681396484,155.39337158203125
2024-02-27,173.5399932861328,321.2221374511719,354.0712890625,34.13581848144531,138.2191925048828,155.97616577148438,178.25210571289062,485.27960205078125,24.830291748046875,154.50106811523438
2024-02-28,173.16000366210938,323.1144104003906,358.1455078125,33.74930953979492,135.73106384277344,156.52845764160156,179.15577697753906,482.2606201171875,24.96880531311035,155.22848510742188
2024-02-29,176.75999450683594,327.4283447265625,358.381103515625,33.787017822265625,137.80117797851562,156.36373901367188,180.78814697265625,488.34844970703125,24.52556800842285,154.1519317626953
2024-03-01,178.22000122070312,330.1147766113281,361.1299743652344,33.81559753417969,136.48744201660156,157.08071899414062,180.0399627685547,500.47418212890625,24.553272247314453,154.0646209716797
2024-03-04,177.5800018310547,332.0265808105469,357.7626647949219,34.492103576660156,132.7154998779297,154.87159729003906,181.39056396484375,496.379150390625,23.906890869140625,154.75323486328125
2024-03-05,174.1199951171875,327.0067443847656,360.03045654296875,34.55879592895508,132.03872680664062,154.99755859375,183.20761108398438,488.4381103515625,24.08233642578125,154.52047729492188
2024-03-06,173.50999450683594,329.0657043457031,359.9322509765625,34.93992233276367,130.77474975585938,154.38714599609375,184.1598358154297,494.2867736816406,25.107315063476562,154.762939453125
2024-03-07,176.82000732421875,333.56591796875,368.4635009765625,35.092376708984375,133.7406005859375,153.93174743652344,182.54685974121094,510.3282470703125,24.73795509338379,155.7812957763672
2024-03-08,175.35000610351562,332.5560607910156,367.2657775878906,35.216243743896484,134.76568603515625,154.56155395507812,182.88694763183594,504.1109619140625,25.1350154876709,155.5194549560547
